source,target,time_fps
fly12,fly4,13566
fly4,fly12,13567
fly8,fly4,13571
fly10,fly5,13572
fly9,fly2,13575
fly7,fly10,13591
fly7,fly3,13609
fly6,fly8,13609
fly11,fly2,13613
fly2,fly11,13616
fly9,fly10,13708
fly5,fly12,13715
fly10,fly9,13716
fly9,fly12,13731
fly9,fly5,13741
fly12,fly10,13747
fly10,fly2,13748
fly2,fly10,13750
fly4,fly10,13805
fly12,fly2,13812
fly2,fly12,13813
fly6,fly2,13827
fly12,fly6,13838
fly12,fly4,13840
fly4,fly12,13841
fly11,fly8,13901
fly8,fly11,13921
fly12,fly2,13949
fly1,fly4,13951
fly4,fly1,13977
fly12,fly8,14008
fly8,fly12,14009
fly6,fly12,14047
fly1,fly7,14062
fly10,fly3,14095
fly8,fly6,14127
fly6,fly10,14186
fly9,fly4,14202
fly9,fly6,14202
fly6,fly4,14203
fly6,fly9,14219
fly5,fly8,14244
fly6,fly9,14254
fly11,fly4,14258
fly9,fly6,14263
fly4,fly11,14263
fly4,fly2,14275
fly9,fly6,14284
fly5,fly4,14294
fly12,fly5,14297
fly5,fly12,14299
fly9,fly4,14328
fly9,fly5,14330
fly4,fly12,14341
fly9,fly4,14347
fly5,fly6,14378
fly4,fly12,14394
fly6,fly10,14521
fly10,fly6,14523
fly12,fly11,14529
fly1,fly6,14550
fly6,fly5,14552
fly12,fly7,14555
fly7,fly12,14577
fly12,fly7,14620
fly3,fly2,14655
fly12,fly3,14693
fly2,fly12,14694
fly6,fly4,14727
fly12,fly3,14741
fly3,fly10,14741
fly6,fly5,14756
fly2,fly3,14803
fly4,fly6,14848
fly1,fly11,14879
fly10,fly2,14883
fly2,fly10,14884
fly9,fly2,14896
fly10,fly9,14903
fly7,fly12,14915
fly7,fly12,14935
fly9,fly2,14949
fly2,fly9,14971
fly6,fly5,15053
fly5,fly3,15064
fly7,fly5,15083
fly3,fly5,15103
fly5,fly3,15103
fly10,fly5,15111
fly10,fly6,15144
fly6,fly10,15154
fly5,fly10,15165
fly7,fly5,15166
fly10,fly5,15178
fly5,fly4,15186
fly4,fly5,15193
fly9,fly12,15210
fly4,fly5,15212
fly6,fly1,15225
fly12,fly9,15228
fly11,fly8,15238
fly7,fly5,15245
fly12,fly9,15263
fly1,fly6,15264
fly5,fly6,15273
fly1,fly5,15277
fly12,fly9,15287
fly9,fly10,15293
fly10,fly9,15302
fly3,fly2,15303
fly12,fly4,15350
fly7,fly5,15361
fly6,fly7,15380
fly6,fly10,15380
fly10,fly6,15380
fly10,fly7,15391
fly5,fly10,15397
fly11,fly12,15409
fly12,fly4,15409
fly9,fly1,15413
fly1,fly9,15416
fly7,fly5,15418
fly11,fly4,15428
fly7,fly6,15430
fly8,fly10,15446
fly9,fly8,15511
fly12,fly1,15515
fly1,fly12,15515
fly9,fly10,15547
fly4,fly11,15552
fly10,fly8,15591
fly5,fly12,15674
fly9,fly6,15686
fly12,fly7,15687
fly12,fly7,15724
fly7,fly12,15742
fly12,fly10,15750
fly6,fly3,15780
fly8,fly7,15808
fly7,fly9,15809
fly9,fly7,15846
fly7,fly9,15873
fly3,fly10,15886
fly11,fly3,15898
fly12,fly6,15911
fly11,fly5,15915
fly2,fly3,15937
fly12,fly6,15959
fly7,fly9,15965
fly6,fly2,15982
fly6,fly12,16005
fly12,fly2,16008
fly12,fly11,16038
fly5,fly1,16050
fly1,fly5,16057
fly12,fly6,16061
fly5,fly1,16085
fly8,fly5,16111
fly5,fly8,16111
fly1,fly5,16114
fly2,fly4,16124
fly8,fly10,16172
fly10,fly8,16172
fly4,fly12,16188
fly5,fly1,16213
fly5,fly9,16231
fly10,fly3,16234
fly3,fly10,16240
fly11,fly2,16289
fly1,fly2,16291
fly2,fly11,16298
fly2,fly11,16333
